Year,County,Yield_Bu_Acre,PCT_PLANTED_April,PCT_PLANTED_December,PCT_PLANTED_February,PCT_PLANTED_January,PCT_PLANTED_March,PCT_PLANTED_November,PCT_PLANTED_October,PCT_PLANTED_September
2007,CROSBY,34.0,2007.0,2007.0,2007.0,2007.0,2007.0,92.0,84.0,41.0
2006,CROSBY,15.0,2006.0,2006.0,2006.0,2006.0,2006.0,88.0,84.0,41.0
2005,CROSBY,23.1,2005.0,2005.0,2005.0,2005.0,2005.0,91.0,83.0,61.0
2004,CROSBY,17.9,2004.0,2004.0,2004.0,2004.0,2004.0,91.0,84.0,55.0
2003,CROSBY,15.0,2003.0,2003.0,2003.0,2003.0,2003.0,93.0,83.0,52.0
2002,CROSBY,11.9,2002.0,2002.0,2002.0,2002.0,2002.0,95.0,87.0,59.0
2001,CROSBY,16.6,2001.0,2001.0,2001.0,2001.0,2001.0,87.0,70.0,22.0
2000,CROSBY,18.9,2000.0,2000.0,2000.0,2000.0,2000.0,92.0,77.0,40.0
2007,DAWSON,40.0,2007.0,2007.0,2007.0,2007.0,2007.0,92.0,84.0,41.0
2006,DAWSON,30.0,2006.0,2006.0,2006.0,2006.0,2006.0,88.0,84.0,41.0
2005,DAWSON,31.1,2005.0,2005.0,2005.0,2005.0,2005.0,91.0,83.0,61.0
2004,DAWSON,32.1,2004.0,2004.0,2004.0,2004.0,2004.0,91.0,84.0,55.0
2003,DAWSON,25.6,2003.0,2003.0,2003.0,2003.0,2003.0,93.0,83.0,52.0
2002,DAWSON,23.3,2002.0,2002.0,2002.0,2002.0,2002.0,95.0,87.0,59.0
2001,DAWSON,29.5,2001.0,2001.0,2001.0,2001.0,2001.0,87.0,70.0,22.0
2000,DAWSON,21.8,2000.0,2000.0,2000.0,2000.0,2000.0,92.0,77.0,40.0
2007,GAINES,41.0,2007.0,2007.0,2007.0,2007.0,2007.0,92.0,84.0,41.0
2006,GAINES,22.0,2006.0,2006.0,2006.0,2006.0,2006.0,88.0,84.0,41.0
2005,GAINES,31.6,2005.0,2005.0,2005.0,2005.0,2005.0,91.0,83.0,61.0
