Year,County,Yield_Bu_Acre,February_End_Pct,March_End_Pct,April_End_Pct,May_End_Pct,June_End_Pct,July_End_Pct
2010,FAYETTE,106.3,0.0,0.0,61.0,97.0,97.0,97.0
2011,FAYETTE,30.0,0.0,0.0,66.0,98.0,100.0,100.0
2012,FAYETTE,73.2,0.0,0.0,70.0,95.0,95.0,95.0
2013,FAYETTE,53.6,0.0,0.0,69.0,95.0,98.0,98.0
2014,FAYETTE,110.0,0.0,0.0,64.0,97.0,100.0,100.0
2015,FAYETTE,77.8,2.0,20.0,56.0,83.0,100.0,100.0
2016,FAYETTE,83.3,0.0,38.0,52.0,93.0,99.0,99.0
2017,FAYETTE,88.9,0.0,45.0,71.0,96.0,100.0,100.0
2018,FAYETTE,67.7,0.0,43.0,70.0,90.0,96.0,96.0
2019,FAYETTE,109.1,0.0,51.0,65.0,93.0,100.0,100.0
2020,FAYETTE,90.9,0.0,50.0,67.0,96.0,98.0,98.0
2021,FAYETTE,101.9,3.0,50.0,66.0,95.0,95.0,95.0
2022,FAYETTE,55.6,5.0,51.0,69.0,94.0,99.0,99.0
2023,FAYETTE,93.6,5.0,52.0,74.0,92.0,100.0,100.0
2024,FAYETTE,111.9,3.0,57.0,71.0,92.0,100.0,100.0
2000,GRAYSON,89.8,0.0,0.0,80.0,97.0,97.0,97.0
2001,GRAYSON,64.3,0.0,0.0,69.0,98.0,98.0,98.0
2002,GRAYSON,84.6,0.0,0.0,75.0,99.0,100.0,100.0
2003,GRAYSON,95.3,0.0,0.0,73.0,99.0,100.0,100.0
2004,GRAYSON,105.6,0.0,0.0,70.0,98.0,98.0,98.0
2005,GRAYSON,62.2,0.0,0.0,72.0,95.0,95.0,95.0
2006,GRAYSON,43.0,0.0,0.0,80.0,99.0,99.0,99.0
2007,GRAYSON,117.0,0.0,0.0,70.0,98.0,98.0,98.0
2008,GRAYSON,75.0,0.0,0.0,66.0,97.0,99.0,99.0
2009,GRAYSON,63.2,0.0,0.0,74.0,98.0,100.0,100.0
2010,GRAYSON,52.1,0.0,0.0,61.0,97.0,97.0,97.0
2011,GRAYSON,52.1,0.0,0.0,66.0,98.0,100.0,100.0
2012,GRAYSON,89.4,0.0,0.0,70.0,95.0,95.0,95.0
2013,GRAYSON,92.1,0.0,0.0,69.0,95.0,98.0,98.0
