Year,County,Yield_Bu_Acre,PCT_PLANTED_April,PCT_PLANTED_February,PCT_PLANTED_June,PCT_PLANTED_March,PCT_PLANTED_May
2002,HUTCHINSON,210.5,75.0,75.0,100.0,100.0,99.0
2001,HUTCHINSON,190.2,69.0,69.0,69.0,69.0,98.0
2000,HUTCHINSON,171.1,80.0,80.0,80.0,80.0,97.0
2025,LIPSCOMB,222.0,74.0,74.0,97.0,55.0,93.0
2021,LIPSCOMB,174.8,66.0,3.0,3.0,50.0,95.0
2007,LIPSCOMB,198.0,70.0,70.0,70.0,70.0,98.0
2006,LIPSCOMB,179.0,80.0,80.0,80.0,80.0,99.0
2005,LIPSCOMB,182.5,72.0,72.0,72.0,72.0,95.0
2004,LIPSCOMB,195.5,70.0,70.0,70.0,70.0,98.0
2003,LIPSCOMB,198.0,73.0,73.0,100.0,100.0,99.0
2002,LIPSCOMB,203.2,75.0,75.0,100.0,100.0,99.0
2001,LIPSCOMB,182.2,69.0,69.0,69.0,69.0,98.0
2000,LIPSCOMB,169.0,80.0,80.0,80.0,80.0,97.0
2025,MOORE,226.9,74.0,74.0,97.0,55.0,93.0
2024,MOORE,199.0,71.0,3.0,100.0,57.0,92.0
2022,MOORE,145.8,69.0,5.0,99.0,51.0,94.0
2021,MOORE,217.0,66.0,3.0,3.0,50.0,95.0
2020,MOORE,181.5,67.0,67.0,98.0,50.0,96.0
2019,MOORE,192.3,65.0,65.0,100.0,51.0,93.0
2018,MOORE,192.9,70.0,70.0,96.0,43.0,90.0
2017,MOORE,211.7,71.0,71.0,100.0,45.0,96.0
2016,MOORE,209.5,52.0,52.0,99.0,38.0,93.0
2015,MOORE,217.6,56.0,2.0,100.0,20.0,83.0
2014,MOORE,218.5,64.0,64.0,100.0,100.0,97.0
2013,MOORE,220.5,69.0,69.0,98.0,98.0,95.0
2012,MOORE,169.6,70.0,70.0,70.0,70.0,95.0
2011,MOORE,154.0,66.0,66.0,100.0,100.0,98.0
2010,MOORE,233.2,61.0,61.0,61.0,61.0,97.0
2009,MOORE,213.9,74.0,74.0,100.0,100.0,98.0
2008,MOORE,211.0,66.0,66.0,99.0,99.0,97.0
2007,MOORE,223.0,70.0,70.0,70.0,70.0,98.0
2006,MOORE,198.0,80.0,80.0,80.0,80.0,99.0
2005,MOORE,197.1,72.0,72.0,72.0,72.0,95.0
2004,MOORE,206.1,70.0,70.0,70.0,70.0,98.0
2003,MOORE,201.8,73.0,73.0,100.0,100.0,99.0
2002,MOORE,212.0,75.0,75.0,100.0,100.0,99.0
2001,MOORE,184.4,69.0,69.0,69.0,69.0,98.0
2000,MOORE,167.3,80.0,80.0,80.0,80.0,97.0
2023,OCHILTREE,178.0,74.0,5.0,100.0,52.0,92.0
2022,OCHILTREE,183.5,69.0,5.0,99.0,51.0,94.0
2021,OCHILTREE,226.2,66.0,3.0,3.0,50.0,95.0
2020,OCHILTREE,200.7,67.0,67.0,98.0,50.0,96.0
2019,OCHILTREE,191.7,65.0,65.0,100.0,51.0,93.0
2018,OCHILTREE,170.9,70.0,70.0,96.0,43.0,90.0
2017,OCHILTREE,190.7,71.0,71.0,100.0,45.0,96.0
2016,OCHILTREE,203.3,52.0,52.0,99.0,38.0,93.0
2015,OCHILTREE,196.6,56.0,2.0,100.0,20.0,83.0
2014,OCHILTREE,210.1,64.0,64.0,100.0,100.0,97.0
2013,OCHILTREE,201.9,69.0,69.0,98.0,98.0,95.0
2011,OCHILTREE,135.3,66.0,66.0,100.0,100.0,98.0
2010,OCHILTREE,198.3,61.0,61.0,61.0,61.0,97.0
2009,OCHILTREE,203.2,74.0,74.0,100.0,100.0,98.0
2008,OCHILTREE,216.0,66.0,66.0,99.0,99.0,97.0
2007,OCHILTREE,206.0,70.0,70.0,70.0,70.0,98.0
2006,OCHILTREE,193.0,80.0,80.0,80.0,80.0,99.0
2005,OCHILTREE,229.4,72.0,72.0,72.0,72.0,95.0
2004,OCHILTREE,216.7,70.0,70.0,70.0,70.0,98.0
2003,OCHILTREE,198.4,73.0,73.0,100.0,100.0,99.0
2002,OCHILTREE,204.3,75.0,75.0,100.0,100.0,99.0
2001,OCHILTREE,148.7,69.0,69.0,69.0,69.0,98.0
2000,OCHILTREE,155.2,80.0,80.0,80.0,80.0,97.0
2015,OLDHAM,187.1,56.0,2.0,100.0,20.0,83.0
2011,OLDHAM,69.3,66.0,66.0,100.0,100.0,98.0
2024,PARMER,120.5,71.0,3.0,100.0,57.0,92.0
2023,PARMER,168.6,74.0,5.0,100.0,52.0,92.0
2022,PARMER,89.6,69.0,5.0,99.0,51.0,94.0
2016,PARMER,153.7,52.0,52.0,99.0,38.0,93.0
2015,PARMER,147.4,56.0,2.0,100.0,20.0,83.0
2014,PARMER,212.4,64.0,64.0,100.0,100.0,97.0
2013,PARMER,179.1,69.0,69.0,98.0,98.0,95.0
2012,PARMER,182.2,70.0,70.0,70.0,70.0,95.0
2011,PARMER,141.3,66.0,66.0,100.0,100.0,98.0
2010,PARMER,205.5,61.0,61.0,61.0,61.0,97.0
2009,PARMER,207.4,74.0,74.0,100.0,100.0,98.0
2008,PARMER,174.0,66.0,66.0,99.0,99.0,97.0
2007,PARMER,200.0,70.0,70.0,70.0,70.0,98.0
2006,PARMER,188.0,80.0,80.0,80.0,80.0,99.0
2005,PARMER,184.8,72.0,72.0,72.0,72.0,95.0
